time,user_name,user_color,message
11697,nogamesensetv,#FF69B4,"i loved watching you"
11701,anorakdt,#DFC80E,"@0DRONZER new podrace strat that saves like 55 seconds, one of the hardest tricks that people go for"
11704,eruonen,#0000FF,"What a match"
11708,luckessb,#1E90FF,"my goat🐐"
11713,biksel,#00ADCC,"gg"
11714,0dronzer,,"55 SECONDS WOAH"
11714,cragon76,,"@0dronzer pod fraud is lap 2 skip but there’s also lap 1 and lap 3 skip and they are a million times harder"
11715,zombiekill212,,"GGs"
11737,wiisuper,#1E90FF,"saturday ope"
11767,violaguy32,#DAA520,"ggs"
11832,charliegldmn,#DC4C0E,"GGs fellas"
11842,nogamesensetv,#FF69B4,"that was a banger"
11847,bennymoon129,,"olive has big plot armor"
11926,dougdimmadayum,#5F9EA0,"gg gamers thanks for playing"
11961,mariofan043,#FF4500,"Yeah Olive had plot armor"
11995,frostxbytex,#1E90FF,"Benny pbd too right"
12002,anorakdt,#DFC80E,"@FrostxBytex yep"
12006,frostxbytex,#1E90FF,"fire"
12023,nogamesensetv,#FF69B4,"!bracket"
12023,nightbot,#7C7CE1,"View the bracket here: https://docs.google.com/spreadsheets/d/1aw1PAYWkjjj5oZSwaHdP-MnY0472wjWqDpyinL9v4r0"
