time,user_name,user_color,message
4057,charzight,#00D8FF,"looks like the production cost is resaulting in ad use this uear"
4060,tfresh2000,#8A2BE2,"you mean to tell me you guys do ejp ff oob but not bbj"
4080,thenzota,,"ejp ff and bbj doodoo"
4087,nogamesensetv,#FF69B4,"lol"
4088,thenzota,,"slowforce viola skippers rise"
4098,tfresh2000,#8A2BE2,"wait viola"
4106,0dronzer,#5F9EA0,"gay baby jail?"
4108,tfresh2000,#8A2BE2,"can you send me your alt bbj strat"
4116,nogamesensetv,#FF69B4,"@0DRONZER ?"
4121,tfresh2000,#8A2BE2,"doesn’t it only lose like 1 second to 1st try?"
4126,chesterthemouse2,#1E90FF,"@0DRONZER ?"
4131,thenzota,,"it is as fast as second try bbj"
4141,tfresh2000,#8A2BE2,"ya can you throw me a link to that"
4144,flaming_lazer,#8A2BE2,"it is also way harder than bbj"
4146,0dronzer,#5F9EA0,"@NoGameSenseTV ?"
4205,zacmuffin,#52FFFC,"genuinely cannot believe what I am witnessing here"
4218,tfresh2000,#8A2BE2,"this is something incredible"
4224,nolanhead,#FF69B4,"dw guys i have a mintue to save in anakin"
4224,revvylo,#B2D400,"never seen quicksand 2 look so hard"
4228,ethanmagicbrown,#D0A80B,"gamer olive is the goat"
4241,nogamesensetv,#FF69B4,"wow W powerup"
4245,tfresh2000,#8A2BE2,"did you type that while doing the speeder clip"
4262,nolanhead,#FF69B4,"yes"
4267,nolanhead,#FF69B4,"ive been practiing doing it 1 handed"
4271,chesterthemouse2,#1E90FF,"nolan throwing fr"
4275,nogamesensetv,#FF69B4,"interesting"
4346,nogamesensetv,#FF69B4,"fry skip gaming"
4353,tfresh2000,#8A2BE2,"what was the plan there"
4357,violaguy32,#DAA520,"Oil Glitch is still in Endor."
4364,violaguy32,#DAA520,"For WGA"
4366,chesterthemouse2,#1E90FF,"those who know"
4382,nogamesensetv,#FF69B4,"W gamer olive backup"
4390,ethanmagicbrown,#D0A80B,"gamer olive goat"
4409,nogamesensetv,#FF69B4,"gamer olive is just ahead out of this level no?"
4412,chroma_q,#FF0000,"only one fry skip rip"
4466,frostxbytex,#1E90FF,"30ish"
4468,frostxbytex,#1E90FF,"at most"
4507,nolanhead,#FF69B4,"might have to rip a gtf to save this one"
4523,chroma_q,#FF0000,"Hmm"
4523,nogamesensetv,#FF69B4,"thats a little far away but yeah"
4533,chesterthemouse2,#1E90FF,"nolan do gtf in echo base to save the run"
4539,nolanhead,#FF69B4,"wait"
4544,nolanhead,#FF69B4,"thats so smart"
4556,chesterthemouse2,#1E90FF,"i know"
4568,zacmuffin,#52FFFC,"Runners focus on game challenge (extreme edition)"
4576,frostxbytex,#1E90FF,"kallyGreen"
4667,nogamesensetv,#FF69B4,"oh no yahootles"
4720,chesterthemouse2,#1E90FF,"i put it all on olive"
4740,0dronzer,#5F9EA0,"nolan's gonna do some insane skip"
4752,flaming_lazer,#8A2BE2,"uh oh"
4753,flaming_lazer,#8A2BE2,"nolan"
4767,nogamesensetv,#FF69B4,"NOO"
4790,flaming_lazer,#8A2BE2,"he pushed the turnstile twice"
4810,nolanhead,#FF69B4,"good game"
4840,tfresh2000,#8A2BE2,"nolan you should just put a new helmet on in that case"
4852,tfresh2000,#8A2BE2,"they were aggro before you went into btr room"
4871,chesterthemouse2,#1E90FF,"nolan trash skip trust"
4889,chroma_q,#FF0000,"Clueless"
4901,nogamesensetv,#FF69B4,"oomg olive"
4935,nogamesensetv,#FF69B4,"wow nolan"
4968,chesterthemouse2,#1E90FF,"no chimkin box enjoyers sadge"
5033,frostxbytex,#1E90FF,"kallyGreen"
5049,nolanhead,#FF69B4,"ddint know about that tfresh"
5056,nolanhead,#FF69B4,"i was Clueless"
5079,flaming_lazer,#8A2BE2,"clean dse nolan"
5089,nogamesensetv,#FF69B4,"thats high praise from the DSE king ^"
5092,nolanhead,#FF69B4,"hands were a little shaky"
5103,nolanhead,#FF69B4,"would have been like 20 secs better otherwise"
5106,chesterthemouse2,#1E90FF,"palms were sweaty"
5115,0dronzer,#5F9EA0,"mom paghetti"
5136,chesterthemouse2,#1E90FF,"knees week"
5246,dahamster1,#1E90FF,"nolan I’ll send you a spliced 32 hero story to submit if you win this"
5282,0dronzer,#5F9EA0,"the french run"
5308,nolanhead,#FF69B4,"i alerady have one hammy"
5312,nolanhead,#FF69B4,"thanks though"
5448,nolanhead,#FF69B4,"guys how do you do spiderless"
5450,nolanhead,#FF69B4,"i forgot"
5453,dahamster1,#1E90FF,"ok sounds good Nolan hesd"
5455,nolanhead,#FF69B4,"qucik"
5458,nogamesensetv,#FF69B4,"god nolan is farming rn"
5458,chesterthemouse2,#1E90FF,"skip using the spider"
5463,virtualflup,#8A2BE2,"just do it"
5464,dahamster1,#1E90FF,"oh Nolan you can do the lag clip"
5472,dahamster1,#1E90FF,"I talked to the mods and it’s fine this time"
5484,nogamesensetv,#FF69B4,"just use the spider"
5500,chesterthemouse2,#1E90FF,"the mods said you can skip episode 3 if you want nolan"
5515,virtualflup,#8A2BE2,"no he gets to skip 6 because he plays lb1"
5557,0dronzer,#5F9EA0,"the aggro music in jabba's palace always scared me"
5565,dahamster1,#1E90FF,"nolan told me he’s hitting the ep 3 character bonus door to teleport to Vader"
5760,nolanhead,#FF69B4,"Clueless"
5878,charzight,#00D8FF,"I just got an ad with jurgon klopp lmao"
5933,0dronzer,#5F9EA0,"rip booba feet"
6026,0dronzer,#5F9EA0,"omg the disco skip"
6037,0dronzer,#5F9EA0,"i believe him"
6063,chesterthemouse2,#1E90FF,"dude did allat for nothing"
6084,0dronzer,#5F9EA0,"olive is so far ahead"
6088,frostxbytex,#1E90FF,"bro"
6099,chesterthemouse2,#1E90FF,"common disco skip shennanys"
6116,nogamesensetv,#FF69B4,"wow"
6121,0dronzer,#5F9EA0,"oh man"
6125,nogamesensetv,#FF69B4,"control setup time"
6136,ethanmagicbrown,#D0A80B,"gamer olive fans rise up"
6148,chesterthemouse2,#1E90FF,"im a gamer olive believer"
6204,0dronzer,#5F9EA0,"nolan :("
6219,dahamster1,#1E90FF,"it’s fine Nolan is splicing in the ep 5 from the 2:08"
6220,chesterthemouse2,#1E90FF,"nolan what was going on out there"
6228,nolanhead,#FF69B4,"can we play lb1 instead of ep5"
6240,dahamster1,#1E90FF,"the btt was actually just Nolan gameplay but dumbed down a but"
6242,dahamster1,#1E90FF,"but"
6244,dahamster1,#1E90FF,"bit"
6258,chesterthemouse2,#1E90FF,"idea: play lij2 instead of ep 5 to save time probably"
